Species	Fruiting_body_type3	Fruiting_body_type1	Fruiting_body_type2	corrected
Mallocybe_flavicothurnata	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Mallocybe_subflavospora	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Mallocybe_subtilisior	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Mallocybe_jarrahae	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Inocybe_affasterospora	NA	Pileate-stipitate	Pileate-stipitate	Pileate-stipitate
Crepidotus_subverrucisporus_G0716_NL539	NA	Pileate-sessile	Pileate-sessile	Pileate-sessile
Crepidotus_martinii	NA	Pileate-sessile	Pileate-sessile	Pileate-sessile
Crepidotus_herbarum_G1948_MINF0917302_M	NA	Pileate-sessile	Pileate-sessile	Pileate-sessile
Crepidotus_albatus_G1974_MINF0926466_MI	NA	Pileate-sessile	Pileate-sessile	Pileate-sessile
Crepidotus_variabilis	NA	Pileate-sessile	Pileate-sessile	Pileate-sessile
Crepidotus_croceitinctus	NA	Pileate-sessile	Pileate-sessile	Pileate-sessile
Crepidotus_macedonicus_G0394_DB3859	NA	Pileate-sessile	Pileate-sessile	Pileate-sessile
Crepidotus_epibryus_G0515_NL5379	NA	Pileate-sessile	Pileate-sessile	Pileate-sessile
Crepidotus_aureus	NA	Pileate-sessile	Pileate-sessile	Pileate-sessile
Crepidotus_tennesseensis	NA	Pileate-sessile	Pileate-sessile	Pileate-sessile
Crepidotus_kauffmanii_G1956_MINF090541	NA	Pileate-sessile	Pileate-sessile	Pileate-sessile
Crepidotus_cinnabarinus	NA	Pileate-sessile	Pileate-sessile	Pileate-sessile
Crepidotus_submollis	NA	Pileate-sessile	Pileate-sessile	Pileate-sessile
Crepidotus_fraxinicola	NA	Pileate-sessile	Pileate-sessile	Pileate-sessile
Crepidotus_calolepis_G0666_DB3688	NA	Pileate-sessile	Pileate-sessile	Pileate-sessile
Crepidotus_uber	NA	Pileate-sessile	Pileate-sessile	Pileate-sessile
Crepidotus_alabamensis	NA	Pileate-sessile	Pileate-sessile	Pileate-sessile
Crepidotus_tigrensis_B2200_Lechner3	NA	Pileate-sessile	Pileate-sessile	Pileate-sessile
Crepidotus_eucalyptorum_G1749_PERTH_847	NA	Pileate-sessile	Pileate-sessile	Pileate-sessile
Crepidotus_ellipsoideus_G1955_MINF0905	NA	Pileate-sessile	Pileate-sessile	Pileate-sessile
Crepidotus_fragilis	NA	Pileate-sessile	Pileate-sessile	Pileate-sessile
Crepidotus_inhonestus	NA	Pileate-sessile	Pileate-sessile	Pileate-sessile
Crepidotus_lundellii_G0516_NL5279	NA	Pileate-sessile	Pileate-sessile	Pileate-sessile
Crepidotus_caspari_var._caspari_G0712_DB	NA	Pileate-sessile	Pileate-sessile	Pileate-sessile
Crepidotus_versutus	NA	Pileate-sessile	Pileate-sessile	Pileate-sessile
Crepidotus_antillarum	NA	Pileate-sessile	Pileate-sessile	Pileate-sessile
Crepidotus_betulae	NA	Pileate-sessile	Pileate-sessile	Pileate-sessile
Crepidotus_amygdalosporus	NA	Pileate-sessile	Pileate-sessile	Pileate-sessile
